code,label,descruption,distance,specific,values 
D,Other vitamin B deficiency anaemias,Other vitamin B12 deficiency anaemias,2,0, deficiency anaemias
D,"Vitamin B deficiency anaemia, unspecified","Vitamin B12 deficiency anaemia, unspecified",2,0,Vitamin B
D,"Vitamin B deficiency anaemia, unspecified","Vitamin B12 deficiency anaemia, unspecified",2,1,12
D,"Vitamin B deficiency anaemia, unspecified","Vitamin B12 deficiency anaemia, unspecified",2,0," deficiency anaemia, unspecified"
D,"Folate deficiency anaemia, unspecified","Folate deficiency anaemia , unspecified",1,0,Folate deficiency anaemia
D,"Folate deficiency anaemia, unspecified","Folate deficiency anaemia , unspecified",1,1, 
D,"Folate deficiency anaemia, unspecified","Folate deficiency anaemia , unspecified",1,0,", unspecified"
D,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,Anaemia due to glucoses-6-phosphate dehydrogenase [G6PD] deficiency,1,0,Anaemia due to glucose
D,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,Anaemia due to glucoses-6-phosphate dehydrogenase [G6PD] deficiency,1,1,s
D,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,Anaemia due to glucoses-6-phosphate dehydrogenase [G6PD] deficiency,1,0,-6-phosphate dehydrogenase [G6PD] deficiency
D,"Anaemia due to enzyme disorder, unspecified","Anaemia due to  enzyme disorder, unspecified",1,0,Anaemia due to 
D,"Anaemia due to enzyme disorder, unspecified","Anaemia due to  enzyme disorder, unspecified",1,1, 
D,"Anaemia due to enzyme disorder, unspecified","Anaemia due to  enzyme disorder, unspecified",1,0,"enzyme disorder, unspecified"
D,Sickle-cell anaemia without crisis,Sickle-cell anaemia  without crisis,1,0,Sickle-cell anaemia 
D,Sickle-cell anaemia without crisis,Sickle-cell anaemia  without crisis,1,1, 
D,Sickle-cell anaemia without crisis,Sickle-cell anaemia  without crisis,1,0,without crisis
D,Other autoimmune haemolytic anaemias,Other  autoimmune haemolytic anaemias,1,0,Other 
D,Other autoimmune haemolytic anaemias,Other  autoimmune haemolytic anaemias,1,1, 
D,Other autoimmune haemolytic anaemias,Other  autoimmune haemolytic anaemias,1,0,autoimmune haemolytic anaemias
D,Chronic acquired pure red cell aplasia,Chronic acquired  pure red cell aplasia,1,0,Chronic acquired 
D,Chronic acquired pure red cell aplasia,Chronic acquired  pure red cell aplasia,1,1, 
D,Chronic acquired pure red cell aplasia,Chronic acquired  pure red cell aplasia,1,0,pure red cell aplasia
D,Transient acquired pure red cell aplasia,Transient acquired  pure red cell aplasia,1,0,Transient acquired 
D,Transient acquired pure red cell aplasia,Transient acquired  pure red cell aplasia,1,1, 
D,Transient acquired pure red cell aplasia,Transient acquired  pure red cell aplasia,1,0,pure red cell aplasia
D,Other acquired pure red cell aplasias,Other acquired  pure red cell aplasias,1,0,Other acquired 
D,Other acquired pure red cell aplasias,Other acquired  pure red cell aplasias,1,1, 
D,Other acquired pure red cell aplasias,Other acquired  pure red cell aplasias,1,0,pure red cell aplasias
D,"Acquired pure red cell aplasia, unspecified","Acquired  pure red cell aplasia, unspecified",1,0,Acquired 
D,"Acquired pure red cell aplasia, unspecified","Acquired  pure red cell aplasia, unspecified",1,1, 
D,"Acquired pure red cell aplasia, unspecified","Acquired  pure red cell aplasia, unspecified",1,0,"pure red cell aplasia, unspecified"
D,Anaemia in neoplastic disease (C00-D48 +),Anaemia in neoplastic disease (C00-D48),2,0,Anaemia in neoplastic disease (C00-D48
D,Anaemia in neoplastic disease (C00-D48 +),Anaemia in neoplastic disease (C00-D48),2,-1, +
D,Anaemia in neoplastic disease (C00-D48 +),Anaemia in neoplastic disease (C00-D48),2,0,)
D,Von Willebrand disease,Von Willebrand's disease,2,0,Von Willebrand
D,Von Willebrand disease,Von Willebrand's disease,2,1,'s
D,Von Willebrand disease,Von Willebrand's disease,2,0, disease
D,"Coagulation defect, unspecified","Coagulation defect,unspecified",1,0,"Coagulation defect,"
D,"Coagulation defect, unspecified","Coagulation defect,unspecified",1,-1, 
D,"Coagulation defect, unspecified","Coagulation defect,unspecified",1,0,unspecified
D,"Disease of spleen, unspecified","Diseases of spleen, unspecified",1,0,Disease
D,"Disease of spleen, unspecified","Diseases of spleen, unspecified",1,1,s
D,"Disease of spleen, unspecified","Diseases of spleen, unspecified",1,0," of spleen, unspecified"
D,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,Severe combined immunodeficiency [SCID] with low T-and B-cell numbers,1,0,Severe combined immunodeficiency [SCID] with low T-
D,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,Severe combined immunodeficiency [SCID] with low T-and B-cell numbers,1,-1, 
D,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,Severe combined immunodeficiency [SCID] with low T-and B-cell numbers,1,0,and B-cell numbers
D,Nezelof syndrome,Nezelof's syndrome,2,0,Nezelof
D,Nezelof syndrome,Nezelof's syndrome,2,1,'s
D,Nezelof syndrome,Nezelof's syndrome,2,0, syndrome
D,Wiskott-Aldrich syndrome,Wiskott-AIdrich syndrome,1,0,Wiskott-A
D,Wiskott-Aldrich syndrome,Wiskott-AIdrich syndrome,1,-1,l
D,Wiskott-Aldrich syndrome,Wiskott-AIdrich syndrome,1,1,I
D,Wiskott-Aldrich syndrome,Wiskott-AIdrich syndrome,1,0,drich syndrome
D,Di George syndrome,Di George's syndrome,2,0,Di George
D,Di George syndrome,Di George's syndrome,2,1,'s
D,Di George syndrome,Di George's syndrome,2,0, syndrome
D,Hyperimmunoglobulin E [IgE] syndrome,Hyperimmunoglobulin E [lgE] syndrome,1,0,Hyperimmunoglobulin E [
D,Hyperimmunoglobulin E [IgE] syndrome,Hyperimmunoglobulin E [lgE] syndrome,1,-1,I
D,Hyperimmunoglobulin E [IgE] syndrome,Hyperimmunoglobulin E [lgE] syndrome,1,1,l
D,Hyperimmunoglobulin E [IgE] syndrome,Hyperimmunoglobulin E [lgE] syndrome,1,0,gE] syndrome
D,"Immunodeficiency associated with major defect, unspecified","Immunodeficiency associated with major defects, unspecified",1,0,Immunodeficiency associated with major defect
D,"Immunodeficiency associated with major defect, unspecified","Immunodeficiency associated with major defects, unspecified",1,1,s
D,"Immunodeficiency associated with major defect, unspecified","Immunodeficiency associated with major defects, unspecified",1,0,", unspecified"
D,Common variable immunodeficiency with autoantibodies to B- or T-cells,Common variable immunodeficiency with autoantibodies to B- or T- cells,1,0,Common variable immunodeficiency with autoantibodies to B- or T-
D,Common variable immunodeficiency with autoantibodies to B- or T-cells,Common variable immunodeficiency with autoantibodies to B- or T- cells,1,1, 
D,Common variable immunodeficiency with autoantibodies to B- or T-cells,Common variable immunodeficiency with autoantibodies to B- or T- cells,1,0,cells
D,"Disorder involving the immune mechanism, unspecified","Disorders involving the immune mechanism, unspecified",1,0,Disorder
D,"Disorder involving the immune mechanism, unspecified","Disorders involving the immune mechanism, unspecified",1,1,s
D,"Disorder involving the immune mechanism, unspecified","Disorders involving the immune mechanism, unspecified",1,0," involving the immune mechanism, unspecified"
E,Other iodine-deficiency-related thyroid disorders and allied conditions,Other iodine-deficiency-related thryroid disorders and allied conditions,1,0,Other iodine-deficiency-related th
E,Other iodine-deficiency-related thyroid disorders and allied conditions,Other iodine-deficiency-related thryroid disorders and allied conditions,1,1,r
E,Other iodine-deficiency-related thyroid disorders and allied conditions,Other iodine-deficiency-related thryroid disorders and allied conditions,1,0,yroid disorders and allied conditions
E,Congenital hypothyroidism without goitre,Congenital hypothyroidism without  diffuse goitre,9,0,Congenital hypothyroidism without 
E,Congenital hypothyroidism without goitre,Congenital hypothyroidism without  diffuse goitre,9,1, diffuse 
E,Congenital hypothyroidism without goitre,Congenital hypothyroidism without  diffuse goitre,9,0,goitre
E,Chronic thyroiditis with transient thyrotoxicosis,Chronic thyroiditis with transient  thyrotoxicosis,1,0,Chronic thyroiditis with transient 
E,Chronic thyroiditis with transient thyrotoxicosis,Chronic thyroiditis with transient  thyrotoxicosis,1,1, 
E,Chronic thyroiditis with transient thyrotoxicosis,Chronic thyroiditis with transient  thyrotoxicosis,1,0,thyrotoxicosis
E,Other chronic thyroiditis,Other chronic  thyroiditis,1,0,Other chronic 
E,Other chronic thyroiditis,Other chronic  thyroiditis,1,1, 
E,Other chronic thyroiditis,Other chronic  thyroiditis,1,0,thyroiditis
E,Hypersecretion of calcitonin,Hypersecretion of calcitionin,1,0,Hypersecretion of calcit
E,Hypersecretion of calcitonin,Hypersecretion of calcitionin,1,1,i
E,Hypersecretion of calcitonin,Hypersecretion of calcitionin,1,0,onin
E,Pituitary-dependent Cushing disease,Pituitary-dependent Cushing's disease,2,0,Pituitary-dependent Cushing
E,Pituitary-dependent Cushing disease,Pituitary-dependent Cushing's disease,2,1,'s
E,Pituitary-dependent Cushing disease,Pituitary-dependent Cushing's disease,2,0, disease
E,Nelson syndrome,Nelson's syndrome,2,0,Nelson
E,Nelson syndrome,Nelson's syndrome,2,1,'s
E,Nelson syndrome,Nelson's syndrome,2,0, syndrome
E,Drug-induced Cushing syndrome,Drug-induced Cushing's syndrome,2,0,Drug-induced Cushing
E,Drug-induced Cushing syndrome,Drug-induced Cushing's syndrome,2,1,'s
E,Drug-induced Cushing syndrome,Drug-induced Cushing's syndrome,2,0, syndrome
E,Alcohol-induced pseudo-Cushing syndrome,Alcohol-induced pseudo-Cushing's syndrome,2,0,Alcohol-induced pseudo-Cushing
E,Alcohol-induced pseudo-Cushing syndrome,Alcohol-induced pseudo-Cushing's syndrome,2,1,'s
E,Alcohol-induced pseudo-Cushing syndrome,Alcohol-induced pseudo-Cushing's syndrome,2,0, syndrome
E,Other Cushing syndrome,Other Cushing's syndrome,2,0,Other Cushing
E,Other Cushing syndrome,Other Cushing's syndrome,2,1,'s
E,Other Cushing syndrome,Other Cushing's syndrome,2,0, syndrome
E,"Cushing syndrome, unspecified","Cushing' s syndrome, unspecified",3,0,Cushing
E,"Cushing syndrome, unspecified","Cushing' s syndrome, unspecified",3,1,' s
E,"Cushing syndrome, unspecified","Cushing' s syndrome, unspecified",3,0," syndrome, unspecified"
E,Other ovarian dysfunction,Other ovarian dysfuction,1,0,Other ovarian dysfu
E,Other ovarian dysfunction,Other ovarian dysfuction,1,-1,n
E,Other ovarian dysfunction,Other ovarian dysfuction,1,0,ction
E,"Testicular dysfunction, unspecified","Testicular dysfunction,unspecified",1,0,"Testicular dysfunction,"
E,"Testicular dysfunction, unspecified","Testicular dysfunction,unspecified",1,-1, 
E,"Testicular dysfunction, unspecified","Testicular dysfunction,unspecified",1,0,unspecified
E,Constitutional tall stature,Constituional tall stature,1,0,Constitu
E,Constitutional tall stature,Constituional tall stature,1,-1,t
E,Constitutional tall stature,Constituional tall stature,1,0,ional tall stature
E,Disorders of adrenal glands in diseases classified elsewhere,Disorders of adrenal gland in diseases classified elsewhere,1,0,Disorders of adrenal gland
E,Disorders of adrenal glands in diseases classified elsewhere,Disorders of adrenal gland in diseases classified elsewhere,1,-1,s
E,Disorders of adrenal glands in diseases classified elsewhere,Disorders of adrenal gland in diseases classified elsewhere,1,0, in diseases classified elsewhere
E,Vitamin A deficiency with Bitot spot and conjunctival xerosis,Vitamin A deficiency with Bitot's spot and conjunctival xerosis,2,0,Vitamin A deficiency with Bitot
E,Vitamin A deficiency with Bitot spot and conjunctival xerosis,Vitamin A deficiency with Bitot's spot and conjunctival xerosis,2,1,'s
E,Vitamin A deficiency with Bitot spot and conjunctival xerosis,Vitamin A deficiency with Bitot's spot and conjunctival xerosis,2,0, spot and conjunctival xerosis
E,Wernicke encephalopathy,Wernicke's encephalopathy,2,0,Wernicke
E,Wernicke encephalopathy,Wernicke's encephalopathy,2,1,'s
E,Wernicke encephalopathy,Wernicke's encephalopathy,2,0, encephalopathy
E,Sequelae of vitamin C deficiency,Sequelae of Vitamin C deficiency,1,0,Sequelae of 
E,Sequelae of vitamin C deficiency,Sequelae of Vitamin C deficiency,1,-1,v
E,Sequelae of vitamin C deficiency,Sequelae of Vitamin C deficiency,1,1,V
E,Sequelae of vitamin C deficiency,Sequelae of Vitamin C deficiency,1,0,itamin C deficiency
E,Sequelae of unspecified nutritional deficiency,Sequelae of unspecified nutritional deficirncy,1,0,Sequelae of unspecified nutritional defici
E,Sequelae of unspecified nutritional deficiency,Sequelae of unspecified nutritional deficirncy,1,-1,e
E,Sequelae of unspecified nutritional deficiency,Sequelae of unspecified nutritional deficirncy,1,1,r
E,Sequelae of unspecified nutritional deficiency,Sequelae of unspecified nutritional deficirncy,1,0,ncy
E,Hypercarotenaemia,Hypercaroteaemia,1,0,Hypercarote
E,Hypercarotenaemia,Hypercaroteaemia,1,-1,n
E,Hypercarotenaemia,Hypercaroteaemia,1,0,aemia
E,Megavitamin-B syndrome,Megavitamin-B6 syndrome,1,0,Megavitamin-B
E,Megavitamin-B syndrome,Megavitamin-B6 syndrome,1,1,6
E,Megavitamin-B syndrome,Megavitamin-B6 syndrome,1,0, syndrome
E,Other disorders of aromatic amino-acid metabolism,Other disorders of aromatic mino-acid metabolism,1,0,Other disorders of aromatic 
E,Other disorders of aromatic amino-acid metabolism,Other disorders of aromatic mino-acid metabolism,1,-1,a
E,Other disorders of aromatic amino-acid metabolism,Other disorders of aromatic mino-acid metabolism,1,0,mino-acid metabolism
E,Disorders of fatty-acid metabolism,Disorders of fatty-acid metabolsim,2,0,Disorders of fatty-acid metabol
E,Disorders of fatty-acid metabolism,Disorders of fatty-acid metabolsim,2,-1,i
E,Disorders of fatty-acid metabolism,Disorders of fatty-acid metabolsim,2,0,s
E,Disorders of fatty-acid metabolism,Disorders of fatty-acid metabolsim,2,1,i
E,Disorders of fatty-acid metabolism,Disorders of fatty-acid metabolsim,2,0,m
E,GM gangliosidosis,GM2 gangliosidosis,1,0,GM
E,GM gangliosidosis,GM2 gangliosidosis,1,1,2
E,GM gangliosidosis,GM2 gangliosidosis,1,0, gangliosidosis
E,"Lipid storage disorder, unspecified","Lipid storage disorder, unsprecified",1,0,"Lipid storage disorder, unsp"
E,"Lipid storage disorder, unspecified","Lipid storage disorder, unsprecified",1,1,r
E,"Lipid storage disorder, unspecified","Lipid storage disorder, unsprecified",1,0,ecified
E,Other mucopolysaccharidoses,Other mucopolysaccharidosis,1,0,Other mucopolysaccharidos
E,Other mucopolysaccharidoses,Other mucopolysaccharidosis,1,-1,e
E,Other mucopolysaccharidoses,Other mucopolysaccharidosis,1,1,i
E,Other mucopolysaccharidoses,Other mucopolysaccharidosis,1,0,s
E,"Disorder of glucosaminoglycan metabolism, unspecified","Disorder of glucosaminoglycan metabolism,unspecified",1,0,"Disorder of glucosaminoglycan metabolism,"
E,"Disorder of glucosaminoglycan metabolism, unspecified","Disorder of glucosaminoglycan metabolism,unspecified",1,-1, 
E,"Disorder of glucosaminoglycan metabolism, unspecified","Disorder of glucosaminoglycan metabolism,unspecified",1,0,unspecified
E,"Disorder of lipoprotein metabolism, unspecified","Disorder of lipoprotein metabolism,unspecified",1,0,"Disorder of lipoprotein metabolism,"
E,"Disorder of lipoprotein metabolism, unspecified","Disorder of lipoprotein metabolism,unspecified",1,-1, 
E,"Disorder of lipoprotein metabolism, unspecified","Disorder of lipoprotein metabolism,unspecified",1,0,unspecified
E,Gilbert syndrome,Gilbert's syndrome,2,0,Gilbert
E,Gilbert syndrome,Gilbert's syndrome,2,1,'s
E,Gilbert syndrome,Gilbert's syndrome,2,0, syndrome
E,Disorders of phosphorus metabolism and phosphatases,Disorders of phosphorus metabolism and phosphatase,1,0,Disorders of phosphorus metabolism and phosphatase
E,Disorders of phosphorus metabolism and phosphatases,Disorders of phosphorus metabolism and phosphatase,1,-1,s
E,"Disorder of mineral metabolism, unspecified","Disorders of mineral metabolism, unspecified",1,0,Disorder
E,"Disorder of mineral metabolism, unspecified","Disorders of mineral metabolism, unspecified",1,1,s
E,"Disorder of mineral metabolism, unspecified","Disorders of mineral metabolism, unspecified",1,0," of mineral metabolism, unspecified"
E,Postprocedural adrenocortical(-medullary) hypofunction,Postprocedural adrenocortical[-medullary] hypofunction,2,0,Postprocedural adrenocortical
E,Postprocedural adrenocortical(-medullary) hypofunction,Postprocedural adrenocortical[-medullary] hypofunction,2,-1,(
E,Postprocedural adrenocortical(-medullary) hypofunction,Postprocedural adrenocortical[-medullary] hypofunction,2,1,[
E,Postprocedural adrenocortical(-medullary) hypofunction,Postprocedural adrenocortical[-medullary] hypofunction,2,0,-medullary
E,Postprocedural adrenocortical(-medullary) hypofunction,Postprocedural adrenocortical[-medullary] hypofunction,2,-1,)
E,Postprocedural adrenocortical(-medullary) hypofunction,Postprocedural adrenocortical[-medullary] hypofunction,2,1,]
E,Postprocedural adrenocortical(-medullary) hypofunction,Postprocedural adrenocortical[-medullary] hypofunction,2,0, hypofunction
F,Dementia in Alzheimer disease with early onset (G30.0 +),Dementia in Alzheimer's disease with early onset (G30.0*),4,0,Dementia in Alzheimer
F,Dementia in Alzheimer disease with early onset (G30.0 +),Dementia in Alzheimer's disease with early onset (G30.0*),4,1,'s
F,Dementia in Alzheimer disease with early onset (G30.0 +),Dementia in Alzheimer's disease with early onset (G30.0*),4,0, disease with early onset (G30.0
F,Dementia in Alzheimer disease with early onset (G30.0 +),Dementia in Alzheimer's disease with early onset (G30.0*),4,-1, +
F,Dementia in Alzheimer disease with early onset (G30.0 +),Dementia in Alzheimer's disease with early onset (G30.0*),4,1,*
F,Dementia in Alzheimer disease with early onset (G30.0 +),Dementia in Alzheimer's disease with early onset (G30.0*),4,0,)
F,Dementia in Alzheimer disease with late onset (G30.1 +),Dementia in Alzheimer's disease with late onset (G30.1*),4,0,Dementia in Alzheimer
F,Dementia in Alzheimer disease with late onset (G30.1 +),Dementia in Alzheimer's disease with late onset (G30.1*),4,1,'s
F,Dementia in Alzheimer disease with late onset (G30.1 +),Dementia in Alzheimer's disease with late onset (G30.1*),4,0, disease with late onset (G30.1
F,Dementia in Alzheimer disease with late onset (G30.1 +),Dementia in Alzheimer's disease with late onset (G30.1*),4,-1, +
F,Dementia in Alzheimer disease with late onset (G30.1 +),Dementia in Alzheimer's disease with late onset (G30.1*),4,1,*
F,Dementia in Alzheimer disease with late onset (G30.1 +),Dementia in Alzheimer's disease with late onset (G30.1*),4,0,)
F,"Dementia in Alzheimer disease, atypical or mixed type (G30.8 +)","Dementia in Alzheimer's disease, atypical or mixed type (G30.8*)",4,0,Dementia in Alzheimer
F,"Dementia in Alzheimer disease, atypical or mixed type (G30.8 +)","Dementia in Alzheimer's disease, atypical or mixed type (G30.8*)",4,1,'s
F,"Dementia in Alzheimer disease, atypical or mixed type (G30.8 +)","Dementia in Alzheimer's disease, atypical or mixed type (G30.8*)",4,0," disease, atypical or mixed type (G30.8"
F,"Dementia in Alzheimer disease, atypical or mixed type (G30.8 +)","Dementia in Alzheimer's disease, atypical or mixed type (G30.8*)",4,-1, +
F,"Dementia in Alzheimer disease, atypical or mixed type (G30.8 +)","Dementia in Alzheimer's disease, atypical or mixed type (G30.8*)",4,1,*
F,"Dementia in Alzheimer disease, atypical or mixed type (G30.8 +)","Dementia in Alzheimer's disease, atypical or mixed type (G30.8*)",4,0,)
F,"Dementia in Alzheimer disease, unspecified (G30.9 +)","Dementia in Alzheimer's disease, unspecified (G30.9*)",4,0,Dementia in Alzheimer
F,"Dementia in Alzheimer disease, unspecified (G30.9 +)","Dementia in Alzheimer's disease, unspecified (G30.9*)",4,1,'s
F,"Dementia in Alzheimer disease, unspecified (G30.9 +)","Dementia in Alzheimer's disease, unspecified (G30.9*)",4,0," disease, unspecified (G30.9"
F,"Dementia in Alzheimer disease, unspecified (G30.9 +)","Dementia in Alzheimer's disease, unspecified (G30.9*)",4,-1, +
F,"Dementia in Alzheimer disease, unspecified (G30.9 +)","Dementia in Alzheimer's disease, unspecified (G30.9*)",4,1,*
F,"Dementia in Alzheimer disease, unspecified (G30.9 +)","Dementia in Alzheimer's disease, unspecified (G30.9*)",4,0,)
F,"Vascular dementia, unspecified","Vasclar dementia, uspecified",2,0,Vasc
F,"Vascular dementia, unspecified","Vasclar dementia, uspecified",2,-1,u
F,"Vascular dementia, unspecified","Vasclar dementia, uspecified",2,0,"lar dementia, u"
F,"Vascular dementia, unspecified","Vasclar dementia, uspecified",2,-1,n
F,"Vascular dementia, unspecified","Vasclar dementia, uspecified",2,0,specified
F,Dementia in Pick disease (G31.0 +),Dementia in Pick's disease (G31.0*),4,0,Dementia in Pick
F,Dementia in Pick disease (G31.0 +),Dementia in Pick's disease (G31.0*),4,1,'s
F,Dementia in Pick disease (G31.0 +),Dementia in Pick's disease (G31.0*),4,0, disease (G31.0
F,Dementia in Pick disease (G31.0 +),Dementia in Pick's disease (G31.0*),4,-1, +
F,Dementia in Pick disease (G31.0 +),Dementia in Pick's disease (G31.0*),4,1,*
F,Dementia in Pick disease (G31.0 +),Dementia in Pick's disease (G31.0*),4,0,)
F,Dementia in Creutzfeldt-Jakob disease (A81.0 +),Dementia in Creutzfedt-Jakob disease (A81.0*),3,0,Dementia in Creutzfe
F,Dementia in Creutzfeldt-Jakob disease (A81.0 +),Dementia in Creutzfedt-Jakob disease (A81.0*),3,-1,l
F,Dementia in Creutzfeldt-Jakob disease (A81.0 +),Dementia in Creutzfedt-Jakob disease (A81.0*),3,0,dt-Jakob disease (A81.0
F,Dementia in Creutzfeldt-Jakob disease (A81.0 +),Dementia in Creutzfedt-Jakob disease (A81.0*),3,-1, +
F,Dementia in Creutzfeldt-Jakob disease (A81.0 +),Dementia in Creutzfedt-Jakob disease (A81.0*),3,1,*
F,Dementia in Creutzfeldt-Jakob disease (A81.0 +),Dementia in Creutzfedt-Jakob disease (A81.0*),3,0,)
F,Dementia in Huntington disease (G10 +),Dementia in Huntington's disease (G10*),4,0,Dementia in Huntington
F,Dementia in Huntington disease (G10 +),Dementia in Huntington's disease (G10*),4,1,'s
F,Dementia in Huntington disease (G10 +),Dementia in Huntington's disease (G10*),4,0, disease (G10
F,Dementia in Huntington disease (G10 +),Dementia in Huntington's disease (G10*),4,-1, +
F,Dementia in Huntington disease (G10 +),Dementia in Huntington's disease (G10*),4,1,*
F,Dementia in Huntington disease (G10 +),Dementia in Huntington's disease (G10*),4,0,)
F,Dementia in Parkinson disease (G20 +),Dementia in Parkinson's disease (G20*),4,0,Dementia in Parkinson
F,Dementia in Parkinson disease (G20 +),Dementia in Parkinson's disease (G20*),4,1,'s
F,Dementia in Parkinson disease (G20 +),Dementia in Parkinson's disease (G20*),4,0, disease (G20
F,Dementia in Parkinson disease (G20 +),Dementia in Parkinson's disease (G20*),4,-1, +
F,Dementia in Parkinson disease (G20 +),Dementia in Parkinson's disease (G20*),4,1,*
F,Dementia in Parkinson disease (G20 +),Dementia in Parkinson's disease (G20*),4,0,)
F,Dementia in human immunodeficiency virus [HIV] disease (B22.0 +),Dementia in human immunodeficiency virus [HIV] disease (B22.0*),2,0,Dementia in human immunodeficiency virus [HIV] disease (B22.0
F,Dementia in human immunodeficiency virus [HIV] disease (B22.0 +),Dementia in human immunodeficiency virus [HIV] disease (B22.0*),2,-1, +
F,Dementia in human immunodeficiency virus [HIV] disease (B22.0 +),Dementia in human immunodeficiency virus [HIV] disease (B22.0*),2,1,*
F,Dementia in human immunodeficiency virus [HIV] disease (B22.0 +),Dementia in human immunodeficiency virus [HIV] disease (B22.0*),2,0,)
F,"Schizophrenia, unspecified","Schizophrenia,unspecified",1,0,"Schizophrenia,"
F,"Schizophrenia, unspecified","Schizophrenia,unspecified",1,-1, 
F,"Schizophrenia, unspecified","Schizophrenia,unspecified",1,0,unspecified
F,Acute polymorphic psychotic disorder without symptoms of schizophrenia,Acute polymorphic psychotic disorder without sympotoms of schizophrenia,1,0,Acute polymorphic psychotic disorder without symp
F,Acute polymorphic psychotic disorder without symptoms of schizophrenia,Acute polymorphic psychotic disorder without sympotoms of schizophrenia,1,1,o
F,Acute polymorphic psychotic disorder without symptoms of schizophrenia,Acute polymorphic psychotic disorder without sympotoms of schizophrenia,1,0,toms of schizophrenia
F,Other acute predominantly delusional psychotic disorders,Other acute predominatly delusional psychotic disorders,1,0,Other acute predomina
F,Other acute predominantly delusional psychotic disorders,Other acute predominatly delusional psychotic disorders,1,-1,n
F,Other acute predominantly delusional psychotic disorders,Other acute predominatly delusional psychotic disorders,1,0,tly delusional psychotic disorders
F,"Bipolar affective disorder, current episode manic without psychotic symptoms","Bipolar affective disorder, current episode mainc without psychotic symptoms",2,0,"Bipolar affective disorder, current episode ma"
F,"Bipolar affective disorder, current episode manic without psychotic symptoms","Bipolar affective disorder, current episode mainc without psychotic symptoms",2,-1,n
F,"Bipolar affective disorder, current episode manic without psychotic symptoms","Bipolar affective disorder, current episode mainc without psychotic symptoms",2,0,i
F,"Bipolar affective disorder, current episode manic without psychotic symptoms","Bipolar affective disorder, current episode mainc without psychotic symptoms",2,1,n
F,"Bipolar affective disorder, current episode manic without psychotic symptoms","Bipolar affective disorder, current episode mainc without psychotic symptoms",2,0,c without psychotic symptoms
F,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode mainc witht psychotic symptoms",3,0,"Bipolar affective disorder, current episode ma"
F,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode mainc witht psychotic symptoms",3,-1,n
F,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode mainc witht psychotic symptoms",3,0,i
F,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode mainc witht psychotic symptoms",3,1,n
F,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode mainc witht psychotic symptoms",3,0,c with
F,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode mainc witht psychotic symptoms",3,1,t
F,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode mainc witht psychotic symptoms",3,0, psychotic symptoms
F,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","Bipolar affective disorder, current episode  severe depression without psychotic symptoms",1,0,"Bipolar affective disorder, current episode "
F,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","Bipolar affective disorder, current episode  severe depression without psychotic symptoms",1,1, 
F,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","Bipolar affective disorder, current episode  severe depression without psychotic symptoms",1,0,severe depression without psychotic symptoms
F,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","Bipolar affective disorder, current episode  severe depression with psychotic symptoms",1,0,"Bipolar affective disorder, current episode "
F,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","Bipolar affective disorder, current episode  severe depression with psychotic symptoms",1,1, 
F,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","Bipolar affective disorder, current episode  severe depression with psychotic symptoms",1,0,severe depression with psychotic symptoms
F,"Bipolar affective disorder, current episode mixed","Bipolar affective disorder, current episode  mixed",1,0,"Bipolar affective disorder, current episode "
F,"Bipolar affective disorder, current episode mixed","Bipolar affective disorder, current episode  mixed",1,1, 
F,"Bipolar affective disorder, current episode mixed","Bipolar affective disorder, current episode  mixed",1,0,mixed
F,"Depressive episode, unspecified","Depressive epsiode, unspecified",2,0,Depressive ep
F,"Depressive episode, unspecified","Depressive epsiode, unspecified",2,-1,i
F,"Depressive episode, unspecified","Depressive epsiode, unspecified",2,0,s
F,"Depressive episode, unspecified","Depressive epsiode, unspecified",2,1,i
F,"Depressive episode, unspecified","Depressive epsiode, unspecified",2,0,"ode, unspecified"
F,"Recurrent depressive disorder, current episode moderate","Recurrent depressive disorder, current epsiode moderate",2,0,"Recurrent depressive disorder, current ep"
F,"Recurrent depressive disorder, current episode moderate","Recurrent depressive disorder, current epsiode moderate",2,-1,i
F,"Recurrent depressive disorder, current episode moderate","Recurrent depressive disorder, current epsiode moderate",2,0,s
